the|는
plastic|플라스틱
produce|생산하다
snow|눈
placed|배치
truth|진실
counter|카운터
failure|실패
follows|다음
weekend|주말
dollar|달러
camp|캠프
ontario|온타리오
automatically|자동으로
des|데스
minnesota|미네소타
films|영화
bridge|다리
native|원주민
fill|채우다
williams|윌리엄스
movement|운동
printing|인쇄
baseball|야구
owned|소유
approval|승인
draft|초안
chart|차트
played|연주했다
contacts|연락처
jesus|예수
readers|독자
clubs|클럽
jackson|잭슨
equal|동등하다
adventure|모험
matching|매칭
offering|헌금
shirts|셔츠
profit|이익
leaders|지도자
posters|포스터
institutions|기관
assistant|조수
variable|변수
ave|거리
advertisement|광고
expect|기대하다
parking|주차
headlines|헤드라인
yesterday|어제
compared|비교하다
determined|결정됨
wholesale|도매
workshop|작업장
russia|러시아
gone|사라졌다
codes|코드
kinds|종류
extension|확장
seattle|시애틀
statements|진술
golden|황금의
completely|완전히
teams|팀
fort|요새
lighting|조명
senate|상원
forces|힘
funny|이상한
brother|형제
gene|유전자
turned|돌았다
portable|휴대용
tried|시도했다
electrical|전기
applicable|해당
disc|디스크
returned|반환
pattern|패턴
boat|보트
named|명명된
theatre|극장
laser|레이저
earlier|더 일찍
manufacturers|제조업체
sponsor|스폰서
classical|클래식
icon|아이콘
warranty|보증
dedicated|헌신적인
indiana|인디애나
direction|방향
harry|해리
basketball|농구
objects|사물
ends|끝
delete|삭제
evening|저녁
assembly|조립
nuclear|핵
taxes|세금
mouse|쥐
signal|신호
criminal|범죄자
issued|발행됨
brain|뇌
sexual|성적
wisconsin|위스콘신
powerful|강력한
dream|꿈
obtained|획득
false|거짓
cast|캐스트
flower|꽃
felt|펠트
personnel|인원
passed|합격
supplied|공급됨
identified|확인됨
falls|폭포
pic|사진
soul|영혼
aids|에이즈
opinions|의견
promote|홍보하다
stated|명시된
stats|통계
hawaii|하와이
professionals|전문가
appears|나타납니다
carry|나르다
flag|깃발
decided|결정하다
covers|커버
advantage|장점
hello|안녕하세요
designs|디자인
maintain|유지하다
tourism|관광
priority|우선순위
newsletters|뉴스레터
adults|성인
clips|클립
savings|저축
graphic|그래픽
atom|원자
payments|지불
estimated|추정
binding|바인딩
brief|간략한
ended|끝났다
winning|승리
eight|여덟
anonymous|익명
iron|철
straight|똑바로
script|스크립트
served|봉사
wants|원한다
miscellaneous|잡다한
prepared|준비된
void|무효
dining|식사
alert|경고
integration|통합
atlanta|애틀랜타
dakota|다코타
tag|태그
interview|인터뷰
mix|섞다
framework|프레임워크
disk|디스크
installed|설치됨
queen|여왕
credits|크레딧
clearly|분명히
fix|고치다
handle|핸들
sweet|달콤한
desk|책상
criteria|기준
pubmed|출판된
dave|데이브
massachusetts|매사추세츠
diego|디에고
hong|홍
vice|부통령
associate|동료
truck|트럭
behavior|행동
enlarge|확대하다
ray|레이
frequently|자주
revenue|수익
measure|측정하다
changing|변화하는
votes|투표
duty|의무
looked|보았다
discussions|토론
bear|곰
gain|이득
festival|축제
laboratory|실험실
ocean|바다
flights|항공편
experts|전문가
signs|표지판
lack|부족하다
depth|깊이
iowa|아이오와
whatever|뭐든지
logged|기록됨
laptop|노트북
vintage|빈티지
train|기차
exactly|정확하게
dry|건조한
explore|탐험하다
maryland|메릴랜드
spa|스파
concept|개념
nearly|거의
eligible|적격
checkout|결제
reality|현실
forgot|잊어버렸어
handling|취급
origin|원산지
knew|알고 있었다
gaming|게임
feeds|피드
billion|10억
destination|목적지
scotland|스코틀랜드
faster|더 빠르게
intelligence|지능
dallas|달라스
bought|샀다
con|사기꾼
ups|업
nations|국가
route|경로
followed|팔로우함
specifications|사양
broken|부서진
tripadvisor|트립어드바이저
frank|솔직한
alaska|알래스카
zoom|줌
blow|타격
battle|전투
residential|주거용
anime|애니메이션
speak|말하다
decisions|결정
industries|산업
protocol|프로토콜
query|쿼리
clip|클립
partnership|파트너십
editorial|사설
expression|표현
equity|지분
provisions|조항
speech|연설
wire|철사
principles|원칙
suggestions|제안
rural|시골
shared|공유됨
sounds|소리
replacement|교체
tape|테이프
strategic|전략적
judge|판사
spam|스팸
economics|경제학
acid|산성
bytes|바이트
cent|센트
forced|강제
compatible|호환 가능
fight|싸움
apartment|아파트
height|신장
null|null
zero|제로
speaker|스피커
filed|제출
netherlands|네덜란드
obtain|얻다
consulting|컨설팅
recreation|레크리에이션
offices|사무실
designer|디자이너
remain|남아있다
managed|관리하다
failed|실패했다
marriage|결혼
roll|롤
korea|한국
banks|은행
participants|참가자
secret|비밀
bath|목욕
kelly|켈리
leads|리드
negative|부정적인
austin|오스틴
favorites|즐겨찾기
toronto|토론토
theater|극장
springs|스프링
missouri|미주리
andrew|앤드류
var|var
perform|수행하다
healthy|건강한
translation|번역
estimates|견적
font|글꼴
assets|자산
injury|부상
joseph|조셉
ministry|사역
drivers|드라이버
lawyer|변호사
figures|피규어
married|결혼했다
protected|보호됨
proposal|제안
sharing|공유
philadelphia|필라델피아
portal|포털
waiting|기다리는 중
birthday|생일
beta|베타
fail|실패하다
gratis|무료
banking|은행 업무
officials|공무원
brian|브라이언
toward|향해
won|이겼다
slightly|약간
assist|도움
conduct|행위
contained|함유된
lingerie|란제리
legislation|입법
calling|전화
parameters|매개변수
jazz|재즈
serving|봉사
bags|가방
profiles|프로필
miami|마이애미
comics|만화
matters|문제
houses|주택
doc|문서
postal|우편
relationships|관계
tennessee|테네시
wear|입다
controls|컨트롤
breaking|파괴
combined|결합된
ultimate|궁극의
wales|웨일즈
representative|대표
frequency|빈도
introduced|소개
minor|미성년자
finish|마무리
departments|부서
residents|주민
noted|주목
displayed|표시됨
mom|엄마
reduced|감소
physics|물리학
rare|드문
spent|지출
performed|수행
extreme|극단적인
samples|샘플
davis|데이비스
daniel|다니엘
bars|바
reviewed|검토됨
row|행
forecast|예측
removed|제거됨
helps|도움이 된다
singles|싱글
administrator|관리자
cycle|주기
amounts|금액
contain|함유하다
accuracy|정확성
dual|듀얼
rise|상승
usd|미화
sleep|자다
bird|새
pharmacy|약국
brazil|브라질
creation|창조
static|정적
scene|장면
hunter|사냥꾼
addresses|주소
lady|아가씨
crystal|크리스탈
famous|유명한
writer|작가
chairman|회장
violence|폭력
fans|팬
oklahoma|오클라호마
speakers|스피커
drink|마시다
academy|아카데미
dynamic|동적
gender|성별
eat|먹다
permanent|영구
agriculture|농업
dell|델
cleaning|청소
constitutes|구성하다
portfolio|포트폴리오
practical|실용적인
delivered|배달됨
collectibles|수집품
infrastructure|인프라
exclusive|독점
seat|좌석
concerns|우려
colour|색깔
vendor|납품업자
originally|원래
intel|인텔
utilities|유틸리티
philosophy|철학
regulation|규제
officers|임원
reduction|감소
aim|목표
bids|입찰
referred|추천됨
supports|지원하다
nutrition|영양
recording|녹음
regions|지역
junior|후배
toll|통행료
les|레
cape|곶
ann|앤
rings|반지
meaning|의미
tip|팁
secondary|보조
wonderful|훌륭하다
mine|내
ladies|숙녀분들
henry|헨리
ticket|티켓
announced|발표
guess|추측하다
agreed|동의했다
prevention|예방
whom|누구
ski|스키
soccer|축구
math|수학
import|수입
posting|게시
presence|존재
instant|인스턴트
mentioned|언급됨
automatic|자동
healthcare|건강 관리
viewing|보기
maintained|유지되다
increasing|증가
majority|대다수
connected|연결됨
christ|그리스도
dan|단
dogs|개
directors|이사
aspects|측면
austria|오스트리아
ahead|앞으로
moon|달
participation|참여
scheme|계획
utility|유틸리티
preview|미리보기
fly|파리
manner|방식
matrix|매트릭스
containing|포함하는
combination|조합
devel|개발
amendment|수정안
despite|그럼에도 불구하고
strength|힘
guaranteed|보장
turkey|칠면조
libraries|도서관
proper|적절한
distributed|분산
degrees|도
singapore|싱가포르
enterprises|기업
delta|델타
fear|무서움
seeking|추구
inches|인치
phoenix|피닉스
convention|컨벤션
shares|주식
principal|교장
daughter|딸
standing|서 있는
comfort|위로
colors|색상
wars|전쟁
cisco|시스코
ordering|주문
kept|유지
alpha|알파
appeal|항소
cruise|크루즈
bonus|보너스
certification|인증
previously|이전에
hey|안녕
bookmark|북마크
buildings|건물
specials|스페셜
beat|이길
disney|디즈니
household|가구
batteries|배터리
adobe|어도비
smoking|흡연
becomes|된다
drives|드라이브
arms|무기
alabama|알라바마
tea|차
improved|개선됨
trees|나무
avg|평균
achieve|달성하다
positions|위치
dress|드레스
subscription|구독
dealer|딜러
contemporary|현대의
sky|하늘
utah|유타
nearby|인근
rom|롬
carried|운반
happen|일어나다
exposure|노출
panasonic|파나소닉
hide|숨기다
permalink|고유 링크
signature|서명
gambling|도박
refer|참조하다
miller|밀러
provision|제공
outdoors|옥외
clothes|옷
caused|원인
luxury|사치
babes|아가씨들
frames|프레임
certainly|확실히
indeed|과연
newspaper|신문
toy|장난감
circuit|회로
layer|레이어
printed|인쇄된
slow|천천히
removal|제거
easier|더 쉽게
liability|책임
trademark|상표
hip|잘 알고 있기
printers|프린터
faqs|자주 묻는 질문
nine|아홉
adding|추가
kentucky|켄터키
mostly|대부분
eric|에릭
spot|자리
taylor|테일러
trackback|트랙백
prints|인쇄물
spend|지출하다
factory|공장
interior|인테리어
revised|개정됨
grow|성장하다
americans|미국인
optical|광학
promotion|프로모션
relative|친척
amazing|놀라운
clock|시계
dot|점
hiv|에이즈
identity|정체성
suites|스위트룸
conversion|전환
feeling|느낌
hidden|숨겨진
reasonable|합리적인
victoria|빅토리아
serial|연속물
relief|구호
revision|개정
broadband|광대역
influence|영향
ratio|비율
pda|PDA
importance|중요성
rain|비
onto|위에
planet|행성
webmaster|웹마스터
copies|사본
recipe|레시피
zum|줌
permit|허가
seeing|보는 것
proof|증거
dna|DNA
diff|차이점
tennis|테니스
bass|베이스
prescription|처방전
bedroom|침실
empty|비어 있음
instance|인스턴스
hole|구멍
pets|애완동물
ride|타고
licensed|라이센스가 있는
orlando|올랜도
specifically|구체적으로
tim|팀
bureau|국
maine|메인
represent|대표하다
conservation|보존
pair|쌍
ideal|이상적인
specs|사양
recorded|녹음된
don|돈
pieces|조각들
finished|완료
parks|공원
dinner|저녁 식사
lawyers|변호사
sydney|시드니
stress|스트레스
cream|크림
runs|달린다
trends|트렌드
yeah|응
discover|발견하다
patterns|패턴
boxes|상자
louisiana|루이지애나
hills|언덕
javascript|자바스크립트
fourth|네번째
advisor|고문
marketplace|시장
evil|악
aware|알고 있다
wilson|윌슨
shape|모양
evolution|진화
irish|아일랜드의
certificates|인증서
objectives|목표
stations|역
suggested|제안됨
remains|유적
acc|액세서리
greatest|가장 큰
firms|기업
concerned|관련
euro|유로
operator|운영자
structures|구조물
generic|일반
encyclopedia|백과사전
usage|사용법
cap|모자
ink|잉크
charts|차트
continuing|계속
mixed|혼합된
census|인구 조사
interracial|인종간
peak|피크
competitive|경쟁적인
exist|존재하다
wheel|바퀴
transit|대중교통
suppliers|공급업체
salt|소금
compact|콤팩트
poetry|시
lights|조명
tracking|추적
angel|천사
bell|벨
keeping|유지
preparation|준비
attempt|시도
receiving|수신
matches|성냥
accordance|일치
width|폭
noise|소음
engines|엔진
forget|잊어버리다
array|배열
discussed|논의됨
accurate|정확하다
stephen|스티븐
elizabeth|엘리자베스
climate|기후
reservations|예약
pin|핀
playstation|플레이스테이션
alcohol|알코올
greek|그리스의
instruction|지시
managing|관리
annotation|주석
sister|여동생
raw|원시
differences|차이점
walking|걷기
explain|설명하다
smaller|더 작은
newest|최신
establish|확립하다
gnu|누
happened|일어난
expressed|표현하다
jeff|제프
extent|정도
sharp|날카로운
lesbians|레즈비언
ben|벤
lane|차선
paragraph|단락
kill|죽이다
mathematics|수학
aol|아올
compensation|보상
export|수출
managers|관리자
aircraft|항공기
modules|모듈
sweden|스웨덴
conflict|갈등
conducted|실시
versions|버전
employer|고용주
occur|발생하다
percentage|백분율
knows|알고 있다
mississippi|미시시피
describe|묘사하다
concern|우려
backup|백업
requested|요청됨
citizens|시민
connecticut|코네티컷
heritage|유산
personals|개인
immediate|즉각적인
holding|보유
trouble|문제
spread|퍼지다
coach|코치
kevin|케빈
agricultural|농업
expand|확장하다
supporting|지원
audience|청중
assigned|할당됨
jordan|조던
collections|컬렉션
ages|나이
participate|참여하다
plug|플러그
specialist|전문가
cook|요리사
affect|영향을 미치다
virgin|처녀
experienced|경험이 풍부한
investigation|조사
raised|제기
hat|모자
institution|기관
directed|감독
dealers|딜러
searching|검색
sporting|스포츠
helping|돕는다
perl|펄
affected|영향을 받음
lib|lib
bike|자전거
totally|완전히
plate|접시
expenses|비용
indicate|나타내다
blonde|금발의
proceedings|절차
favourite|좋아하는
transmission|전송
anderson|앤더슨
utc|UTC
characteristics|특징
der|데르
lose|잃다
organic|유기농
seek|추구
experiences|경험
albums|앨범
cheats|사기꾼
extremely|극도로
verzeichnis|베르제이치니스
contracts|계약
guests|손님
hosted|호스팅됨
diseases|질병
concerning|관련
developers|개발자
equivalent|동등한
chemistry|화학
tony|토니
neighborhood|이웃
nevada|네바다
kits|키트
thailand|태국
variables|변수
agenda|의제
anyway|어쨌든
continues|계속
tracks|트랙
advisory|자문
cam|캠
curriculum|커리큘럼
logic|논리
template|템플릿
prince|왕자
circle|원
soil|토양
grants|보조금
anywhere|어디서나
psychology|심리학
responses|응답
atlantic|대서양
wet|젖은
circumstances|상황
edward|에드워드
investor|투자자
identification|신분증
ram|숫양
leaving|떠나는
wildlife|야생 동물
appliances|가전제품
matt|무광택
elementary|초등학교
cooking|요리
speaking|말하기
sponsors|스폰서
fox|여우
unlimited|무제한
respond|응답하다
sizes|크기
plain|평원
exit|출구
entered|입력
iran|이란
arm|팔
keys|열쇠
launch|발사하다
wave|파도
checking|확인 중
costa|코스타
belgium|벨기에
printable|인쇄 가능
holy|거룩한
acts|행위
guidance|지도
mesh|메쉬
trail|흔적
enforcement|집행
symbol|상징
crafts|공예
highway|고속도로
buddy|친구
hardcover|하드커버
observed|관찰됨
dean|학장
setup|설정
poll|여론 조사
booking|예약
glossary|용어집
fiscal|재정
celebrity|유명인사
styles|스타일
denver|덴버
unix|유닉스
filled|채워진
bond|채권
channels|채널
ericsson|에릭슨
appendix|부록
notify|통지하다
blues|블루스
chocolate|초콜릿
pub|선술집
portion|부분
scope|범위
hampshire|햄프셔
supplier|공급자
cables|케이블
cotton|면화
bluetooth|블루투스
controlled|통제된
requirement|요구 사항
authorities|당국
biology|생물학
dental|치과
killed|사망
border|국경
ancient|고대의
debate|토론
representatives|대표자
starts|시작하다
pregnancy|임신
causes|원인
arkansas|아칸소
biography|전기
leisure|여가
attractions|명소
learned|배운
transactions|거래
notebook|노트북
explorer|탐험가
historic|역사적인
attached|첨부
opened|열었다
husband|남편
disabled|장애인
authorized|승인된
crazy|미친
upcoming|다가오는
britain|영국
concert|콘서트
retirement|은퇴
scores|점수
financing|자금 조달
efficiency|효율성
comedy|코미디
adopted|채택됨
efficient|효율적인
weblog|웹로그
linear|선형
commitment|헌신
specialty|전문
bears|곰
jean|진
hop|홉
carrier|캐리어
edited|편집됨
constant|상수
visa|비자
mouth|입
jewish|유대인
meter|미터
linked|연결됨
portland|포틀랜드
interviews|인터뷰
concepts|개념
gun|총
reflect|반영하다
pure|순수한
deliver|배달하다
wonder|궁금해
lessons|수업
fruit|과일
begins|시작하다
qualified|자격을 갖춘
reform|개혁
lens|렌즈
alerts|경고
treated|치료됨
discovery|발견
draw|무승부
mysql|mysql
classified|기밀
relating|관련된
assume|가정하다
confidence|자신감
alliance|동맹
confirm|확인하다
warm|따뜻한
neither|둘 다
lewis|루이스
howard|하워드
offline|오프라인
leaves|나뭇잎
engineer|엔지니어
lifestyle|라이프 스타일
consistent|일관된
replace|교체하다
clearance|통관
connections|연결
inventory|재고
converter|변환기
organisation|조직
babe|자기야
checks|수표
reached|도달했다
becoming|되고
safari|사파리
objective|목표
indicated|표시된
sugar|설탕
crew|승무원
legs|다리
sam|샘
stick|스틱
securities|증권
allen|알렌
relation|관계
enabled|활성화됨
genre|장르
slide|슬라이드
montana|몬태나
volunteer|자원 봉사
tested|테스트를 거쳤습니다
rear|후방
democratic|민주적인
enhance|강화하다
switzerland|스위스
exact|정확한
bound|경계
parameter|매개변수
adapter|어댑터
processor|프로세서
node|노드
formal|형식적인
dimensions|치수
contribute|기여하다
lock|자물쇠
hockey|하키
storm|폭풍
micro|마이크로
colleges|대학
laptops|노트북
mile|마일
showed|보여주었다
challenges|도전
editors|편집자
mens|망
threads|스레드
bowl|그릇
supreme|최고
brothers|형제
recognition|인식
presents|선물
ref|심판
tank|탱크
submission|제출
dolls|인형
estimate|견적
encourage|격려하다
navy|해군
kid|아이
regulatory|규제
inspection|검사
consumers|소비자
cancel|취소하다
limits|한계
territory|영토
transaction|거래
manchester|맨체스터
weapons|무기
paint|페인트
delay|지연
pilot|조종사
outlet|콘센트
contributions|기여
continuous|연속적인
czech|체코 사람
resulting|결과
cambridge|캠브리지
initiative|이니셔티브
novel|소설
pan|팬
execution|처형
disability|장애
increases|증가하다
ultra|울트라
winner|우승자
idaho|아이다호
contractor|계약자
episode|에피소드
examination|시험
potter|도예가
dish|접시
plays|연극
bulletin|게시판
indicates|나타냅니다
modify|수정하다
oxford|옥스퍼드
adam|아담
truly|정말로
epinions|에피니언
painting|그림
committed|헌신하다
extensive|광범위한
affordable|저렴한
universe|우주
candidate|후보자
databases|데이터베이스
patent|특허
slot|슬롯
outstanding|뛰어난
eating|먹기
perspective|관점
planned|계획된
watching|보고있다
lodge|별장
messenger|메신저
mirror|거울
tournament|토너먼트
consideration|배려
discounts|할인
sterling|스털링
sessions|세션
kernel|커널
stocks|주식
buyers|구매자
journals|저널
gray|회색
catalogue|카탈로그
jennifer|제니퍼
antonio|안토니오
charged|청구됨
broad|넓은
taiwan|대만
und|그리고
chosen|선택됨
demo|데모
greece|그리스
swiss|스위스
sarah|사라
clark|클락
labour|노동
hate|증오
terminal|터미널
publishers|출판사
nights|밤
behalf|대신하여
caribbean|카리브해
liquid|액체
rice|쌀
nebraska|네브라스카
loop|루프
salary|급여
reservation|예약
foods|음식
gourmet|미식가
guard|가드
properly|제대로
orleans|올리언스
saving|절약
remaining|남은
empire|제국
resume|이력서
twenty|스물
newly|새롭게
raise|올리다
prepare|준비하다
avatar|아바타
gary|게리
depending|따라
illegal|불법
expansion|확장
vary|다양하다
hundreds|수백
rome|로마
arab|아랍의
lincoln|링컨
helped|도움이 되었다
premier|총리
tomorrow|내일
purchased|구매한
milk|우유
decide|결정하다
consent|동의
drama|드라마
visiting|방문
performing|공연
downtown|시내
keyboard|키보드
contest|콘테스트
collected|수집된
bands|밴드
boot|부팅
suitable|적합한
absolutely|절대적으로
millions|수백만
lunch|점심
audit|감사
push|푸시
chamber|챔버
guinea|기니
findings|조사 결과
muscle|근육
featuring|특징
iso|iso
implement|구현하다
clicking|클릭
scheduled|예정된
polls|여론 조사
typical|전형적인
tower|탑
yours|너의 것
sum|합계
misc|기타
calculator|계산기
significantly|상당히
chicken|닭고기
temporary|임시
attend|참석하다
shower|샤워
alan|앨런
sending|보내는 중
jason|제이슨
tonight|오늘 밤
dear|친애하는
sufficient|충분하다
holdem|홀덤
shell|껍질
province|지방
catholic|가톨릭
oak|참나무
vat|통
awareness|인식
vancouver|밴쿠버
governor|주지사
beer|맥주
seemed|보였다
contribution|기여
measurement|측정
swimming|수영
spyware|스파이웨어
formula|공식
constitution|헌법
packaging|포장
solar|태양의
jose|호세
catch|잡기
jane|제인
pakistan|파키스탄
reliable|신뢰할 수 있는
consultation|상담
northwest|북서쪽
sir|선생님
doubt|의심
earn|벌다
finder|파인더
unable|할 수 없다
periods|기간
classroom|교실
tasks|작업
democracy|민주주의
attacks|공격
kim|김
wallpaper|벽지
merchandise|상품
const|const
resistance|저항
doors|문
symptoms|증상
resorts|리조트
biggest|가장 큰
memorial|기념관
visitor|방문자
twin|쌍둥이
forth|앞으로
insert|삽입하다
baltimore|볼티모어
gateway|게이트웨이
dont|하지마
alumni|졸업생
drawing|그림
candidates|후보자
charlotte|샬럿
ordered|주문하다
biological|생물학적
fighting|싸움
transition|전환
happens|발생
preferences|환경 설정
spy|스파이
romance|로맨스
instrument|악기
bruce|브루스
split|분할
themes|테마
powers|힘
heaven|천국
bits|비트
pregnant|임신
twice|두 번
classification|분류
focused|집중된
egypt|이집트
physician|의사
hollywood|할리우드
bargain|흥정하다
wikipedia|위키피디아
cellular|세포의
norway|노르웨이
vermont|버몬트
asking|묻는다
blocks|블록
normally|정상적으로
spiritual|영적인
hunting|사냥
diabetes|당뇨병
suit|정장
shift|교대
chip|칩
res|입술
sit|앉다
bodies|시체
photographs|사진
cutting|절단
wow|와우
simon|사이먼
writers|작가
marks|마크
flexible|유연한
loved|사랑받는
favourites|즐겨찾기
mapping|매핑
numerous|수많은
relatively|상대적으로
birds|새들
satisfaction|만족
represents|나타냅니다
char|문자
indexed|색인이 생성된
pittsburgh|피츠버그
superior|우수한
preferred|선호
saved|저장됨
paying|지불
cartoon|만화
shots|샷
intellectual|지적
moore|무어
granted|부여됨
choices|선택
carbon|탄소
spending|지출
comfortable|편안하다
magnetic|자기
interaction|상호 작용
listening|듣기
effectively|효과적으로
registry|레지스트리
crisis|위기
outlook|전망
massive|대규모
denmark|덴마크
employed|취업하다
bright|밝은
treat|치료하다
header|헤더
poverty|빈곤
formed|형성된
piano|피아노
echo|에코
que|큐
grid|그리드
sheets|시트
patrick|패트릭
experimental|실험적인
puerto|푸에르토
revolution|혁명
consolidation|통합
displays|디스플레이
plasma|플라즈마
allowing|허용
earnings|수입
voip|음성
mystery|미스터리
landscape|풍경
dependent|종속
mechanical|기계적인
journey|여행
delaware|델라웨어
bidding|입찰
consultants|컨설턴트
risks|위험
banner|배너
applicant|지원자
charter|헌장
fig|무화과
barbara|바바라
cooperation|협력
counties|카운티
acquisition|획득
ports|포트
implemented|구현
directories|디렉토리
recognized|인식됨
dreams|꿈
blogger|블로거
notification|알림
licensing|라이센스
stands|스탠드
teach|가르치다
occurred|발생
textbooks|교과서
rapid|빠른
pull|당겨
hairy|털이 많은
diversity|다양성
cleveland|클리블랜드
reverse|역방향
deposit|예금
seminar|세미나
investments|투자
latina|라틴계
nasa|나사
wheels|바퀴
specify|지정하다
accessibility|접근성
dutch|네덜란드 사람
sensitive|민감한
templates|템플릿
formats|형식
tab|탭
depends|의존한다
boots|부츠
holds|보유
router|라우터
concrete|콘크리트
editing|편집
poland|폴란드
folder|폴더
womens|여자
completion|완성
upload|업로드
pulse|맥박
universities|대학
technique|기술
contractors|계약자
voting|투표
courts|법원
notices|공지사항
subscriptions|구독
calculate|계산하다
detroit|디트로이트
alexander|알렉산더
broadcast|방송
converted|변환됨
metro|지하철
toshiba|도시바
anniversary|기념일
improvements|개선
strip|조각
specification|사양
pearl|진주
accident|사고
nick|닉
accessible|접근 가능
accessory|액세서리
resident|거주자
plot|줄거리
qty|수량
possibly|아마도
airline|항공사
typically|일반적으로
representation|표현
regard|존경하다
pump|펌프
exists|존재한다
arrangements|준비
smooth|매끄러운
conferences|회의
uniprotkb|유니프로kb
strike|파업
consumption|소비
birmingham|버밍엄
flashing|깜박이는
narrow|좁은
afternoon|오후
threat|위협
surveys|설문조사
sitting|앉아있는
putting|퍼팅
consultant|컨설턴트
controller|컨트롤러
ownership|소유권
committees|위원회
legislative|입법
researchers|연구원
vietnam|베트남
trailer|트레일러
anne|앤
castle|성
gardens|정원
missed|놓쳤다
malaysia|말레이시아
unsubscribe|구독 취소
antique|골동품
labels|라벨
willing|기꺼이
bio|바이오
molecular|분자
acting|연기
heads|머리
stored|저장됨
exam|시험
logos|로고
residence|거주지
attorneys|변호사
antiques|골동품
density|밀도
hundred|백
ryan|라이언
operators|운영자
strange|이상한
sustainable|지속 가능한
philippines|필리핀
statistical|통계적
beds|침대
mention|언급하다
innovation|혁신
employers|고용주
grey|회색
parallel|평행
honda|혼다
amended|수정된
operate|운영하다
bills|지폐
bold|대담한
bathroom|화장실
stable|안정된
opera|오페라
definitions|정의
von|폰
doctors|의사들
lesson|수업
cinema|영화관
asset|자산
scan|스캔
elections|선거
drinking|음주
reaction|반응
blank|공백
enhanced|향상된
entitled|자격이 있는
severe|심한
generate|생성하다
stainless|스테인레스
newspapers|신문
hospitals|병원
deluxe|디럭스
humor|유머
aged|노인들
monitors|모니터
exception|예외
lived|살았다
duration|기간
bulk|대량
successfully|성공적으로
indonesia|인도네시아
pursuant|따라
sci|공상과학
fabric|직물
edt|edt
visits|방문
primarily|주로
tight|꽉
domains|도메인
capabilities|능력
pmid|오후
contrast|대비
recommendation|추천
flying|나는
recruitment|모집
sin|죄
berlin|베를린
cute|귀엽다
organized|조직적인
para|파라
siemens|지멘스
adoption|입양
improving|개선
expensive|비싼
meant|의미
capture|캡처
pounds|파운드
buffalo|버팔로
organisations|조직
plane|비행기
explained|설명했다
seed|종자
programmes|프로그램
desire|욕망
expertise|전문적 지식
mechanism|메커니즘
camping|캠핑
jewellery|보석류
meets|충족
welfare|복지
peer|동료
caught|잡힌
eventually|결국
marked|표시된
driven|구동
measured|측정됨
medline|메드라인
bottle|병
agreements|계약
considering|고려
innovative|혁신적인
marshall|마샬
massage|마사지
rubber|고무
conclusion|결론
closing|폐쇄
tampa|탬파
thousand|천
meat|고기
legend|전설
grace|은혜
susan|수잔
ing|ing
adams|아담스
python|파이썬
monster|괴물
alex|알렉스
bang|쾅
villa|별장
bone|뼈
columns|기둥
disorders|장애
bugs|버그
collaboration|협업
hamilton|해밀턴
detection|탐지
cookies|쿠키
inner|내부
formation|형성
tutorial|튜토리얼
med|의대
engineers|엔지니어
entity|엔터티
cruises|크루즈
gate|게이트
holder|홀더
proposals|제안
moderator|사회자
tutorials|튜토리얼
settlement|정착
portugal|포르투갈
lawrence|로렌스
roman|로마인
duties|의무
valuable|귀중한
tone|톤
collectables|수집품
ethics|윤리
forever|영원히
dragon|용
busy|바쁜
captain|선장
fantastic|환상적인
imagine|상상하다
brings|가져옵니다
heating|난방
leg|다리
neck|목
wing|날개
governments|정부
purchasing|구매
scripts|스크립트
abc|알파벳
stereo|스테레오
appointed|임명됨
taste|맛
dealing|거래
commit|커밋하다
tiny|작은
operational|운영상의
rail|철도
airlines|항공사
liberal|자유주의
livecam|라이브캠
jay|제이
trips|여행
gap|격차
sides|측면
tube|튜브
turns|회전
corresponding|해당
descriptions|설명
cache|캐시
belt|벨트
jacket|재킷
determination|결심
animation|애니메이션
oracle|오라클
matthew|매튜
lease|임대
productions|프로덕션
aviation|항공
hobbies|취미
proud|자랑스럽다
excess|초과
disaster|재해
console|콘솔
commands|명령
telecommunications|통신
instructor|강사
giant|거대한
achieved|달성
injuries|부상
shipped|배송됨
seats|좌석
approaches|접근하다
biz|사업
alarm|알람
voltage|전압
anthony|안소니
nintendo|닌텐도
usual|평소
loading|로드 중
stamps|우표
appeared|등장
franklin|프랭클린
angle|각도
rob|털다
vinyl|비닐
highlights|하이라이트
mining|채광
designers|디자이너
melbourne|멜버른
ongoing|진행중인
worst|최악의
imaging|이미징
betting|도박
scientists|과학자들
liberty|자유
wyoming|와이오밍
blackjack|블랙잭
argentina|아르헨티나
era|시대
convert|개종하다
possibility|가능성
analyst|분석가
commissioner|위원
dangerous|위험한
garage|차고
exciting|흥미진진한
reliability|신뢰성
thongs|가죽끈
unfortunately|불행하게도
respectively|각각
volunteers|자원봉사자
attachment|첨부 파일
ringtone|벨소리
finland|핀란드
morgan|모건
derived|파생된
pleasure|즐거움
honor|명예
asp|ASP
oriented|지향
eagle|독수리
desktops|데스크탑
pants|바지
columbus|콜럼버스
nurse|간호사
prayer|기도
appointment|약속
workshops|워크샵
hurricane|허리케인
quiet|조용한
luck|행운을 빌어요
postage|우편요금
producer|생산자
represented|대표
mortgages|모기지
dial|다이얼
responsibilities|책임
cheese|치즈
comic|만화
carefully|조심스럽게
jet|제트기
productivity|생산성
investors|투자자
crown|왕관
par|파
underground|지하
diagnosis|진단
